name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
42nd Street: The Musical,Not Rated,Musical,2019,"May 1, 2019 (United States)",7.9,321.0,Mark Bramble,Mark Bramble,Bonnie Langford,United Kingdom,,2217255.0,Julian Marsh Pictures,155.0
42nd Street: The Musical,Not Rated,Musical,2019,"May 1, 2019 (United States)",7.9,321.0,Mark Bramble,Mark Bramble,Bonnie Langford,United Kingdom,,2217255.0,Julian Marsh Pictures,155.0
Kinky Boots: The Musical,,Musical,2019,"June 25, 2019 (United States)",8.2,641.0,Jerry Mitchell,Harvey Fierstein,Matt Henry,United Kingdom,,2973437.0,BroadwayHD,135.0
